              DbgId/Bin,  TimeStamp,     Process Name ( PID),           BaseAddr,  ImageSize, TimeDateStamp,   Checksum, OrigFileName
              DbgId/Dbg,  TimeStamp,     Process Name ( PID),           BaseAddr,  ImageSize, TimeDateStamp,   Checksum, OrigFileName
             DbgId/NB10,  TimeStamp,     Process Name ( PID),           BaseAddr,  Signature,        Age, Pdb
             DbgId/RSDS,  TimeStamp,     Process Name ( PID),           BaseAddr,                              Signature,        Age, Pdb
           DbgId/ILRSDS,  TimeStamp,     Process Name ( PID),           BaseAddr,                              Signature,        Age, Pdb
        DbgId/RSDS(Tmf),  TimeStamp,                              Signature,        Age, Pdb
FirstReliableEventTimeStamp, TimeStamp
EndHeader
OS Version: 10.0.22621, Trace Size: 81920KB, Events Lost: 0, Buffers lost: 0, Trace Start: 133162466791295371, Trace Length: 83 sec, PointerSize: 8, Trace Name: c:\Temp\ph\exp4a\events.etl
FirstReliableEventTimeStamp, 0
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876209,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 18, 128, 6, 6, 6, 2, 4, 7, 2, 4, 3, 4, 6, 4, 5, 2, 3, 4, 4, 5, 7, 4, 6, 5, 3, 6, 4, 4, 2, 4, 5, 4, 0, 4, 6, 4, 5, 4, 2, 3, 1, 7, 2, 2, 3, 3, 4, 4, 3, 3, 5, 3, 3, 5, 6, 1, 3, 4, 4, 4, 4, 6, 4, 2, 2, 6
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876211,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 19, 128, 2, 3, 6, 4, 1, 4, 4, 5, 2, 7, 7, 3, 3, 4, 4, 6, 2, 4, 5, 4, 2, 5, 2, 3, 3, 3, 5, 1, 3, 6, 7, 4, 1, 7, 2, 5, 4, 4, 3, 3, 7, 5, 4, 3, 5, 4, 2, 7, 4, 4, 5, 1, 3, 5, 3, 6, 1, 1, 3, 3, 1, 3, 4, 4
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876213,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 20, 128, 2, 4, 2, 5, 2, 6, 5, 3, 3, 6, 4, 2, 4, 2, 3, 2, 4, 1, 4, 4, 5, 4, 2, 3, 6, 3, 7, 6, 4, 5, 3, 6, 8, 2, 1, 4, 3, 1, 3, 4, 3, 6, 4, 5, 2, 2, 3, 3, 6, 2, 2, 4, 4, 4, 4, 7, 7, 1, 1, 8, 3, 4, 3, 4
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876215,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 21, 128, 4, 4, 6, 5, 6, 3, 1, 4, 5, 6, 6, 4, 2, 3, 5, 6, 5, 5, 5, 6, 3, 6, 4, 3, 4, 4, 4, 3, 2, 7, 3, 5, 6, 1, 3, 2, 4, 6, 5, 2, 6, 3, 5, 3, 1, 4, 3, 4, 3, 3, 5, 6, 5, 4, 4, 3, 7, 3, 2, 7, 3, 4, 2, 3
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876217,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 22, 128, 4, 3, 7, 1, 5, 2, 4, 5, 4, 3, 2, 5, 2, 5, 5, 4, 3, 4, 3, 2, 3, 5, 7, 5, 6, 3, 3, 4, 4, 4, 2, 4, 7, 3, 5, 6, 6, 4, 3, 3, 5, 4, 8, 2, 4, 6, 3, 4, 6, 2, 3, 4, 2, 2, 2, 8, 6, 3, 3, 4, 3, 3, 6, 2
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876219,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 23, 128, 4, 6, 6, 4, 7, 3, 4, 4, 4, 1, 2, 4, 4, 5, 3, 5, 3, 5, 3, 4, 5, 1, 5, 3, 6, 3, 5, 7, 5, 6, 4, 7, 5, 10, 6, 6, 4, 0, 4, 6, 2, 6, 4, 8, 2, 7, 4, 4, 5, 2, 4, 1, 5, 1, 2, 4, 3, 2, 1, 4, 4, 4, 3, 4
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876222,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 24, 128, 5, 2, 1, 3, 6, 6, 4, 4, 3, 5, 5, 7, 4, 10, 2, 4, 4, 8, 7, 5, 5, 3, 4, 6, 6, 4, 4, 5, 6, 3, 6, 2, 4, 4, 6, 7, 5, 2, 4, 3, 5, 3, 4, 6, 2, 3, 1, 6, 4, 1, 4, 4, 5, 5, 3, 2, 1, 6, 2, 6, 3, 5, 5, 3
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876224,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 25, 128, 3, 9, 3, 5, 5, 5, 4, 3, 5, 6, 4, 1, 5, 2, 3, 7, 3, 5, 4, 2, 3, 3, 4, 4, 4, 5, 4, 3, 4, 2, 5, 5, 1, 2, 2, 6, 4, 6, 4, 4, 2, 3, 7, 4, 4, 1, 4, 3, 6, 3, 4, 3, 4, 0, 1, 2, 7, 3, 4, 6, 2, 3, 5, 4
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876226,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 26, 128, 7, 2, 5, 5, 2, 6, 3, 1, 1, 7, 4, 3, 4, 5, 3, 7, 3, 4, 2, 4, 2, 5, 6, 4, 2, 7, 4, 5, 7, 4, 6, 3, 4, 5, 2, 5, 3, 2, 4, 6, 7, 4, 6, 6, 6, 6, 2, 4, 3, 3, 4, 2, 5, 6, 2, 5, 3, 9, 3, 4, 3, 5, 5, 5
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876228,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 27, 128, 2, 2, 3, 5, 6, 5, 3, 6, 2, 2, 7, 4, 6, 7, 5, 2, 7, 3, 1, 3, 4, 4, 2, 2, 4, 2, 4, 3, 4, 2, 4, 4, 4, 3, 5, 6, 3, 4, 4, 10, 6, 6, 5, 4, 3, 5, 6, 5, 3, 5, 3, 4, 4, 3, 6, 5, 5, 1, 5, 6, 3, 6, 4, 4
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876230,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 28, 128, 4, 6, 3, 6, 8, 6, 5, 3, 1, 3, 7, 1, 4, 2, 3, 4, 3, 3, 6, 6, 4, 4, 4, 6, 4, 6, 5, 1, 4, 1, 3, 5, 5, 4, 2, 3, 5, 2, 4, 6, 3, 2, 2, 4, 5, 4, 6, 3, 5, 3, 3, 2, 2, 5, 5, 3, 5, 3, 5, 2, 5, 4, 3, 4
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876232,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 29, 128, 5, 2, 7, 1, 2, 2, 5, 6, 5, 3, 8, 2, 5, 1, 6, 4, 6, 5, 0, 1, 3, 4, 4, 2, 4, 6, 2, 5, 3, 5, 3, 3, 3, 4, 4, 4, 4, 2, 3, 5, 2, 4, 4, 5, 5, 4, 7, 5, 2, 2, 8, 5, 3, 1, 3, 7, 5, 5, 7, 3, 4, 4, 5, 5
PerfectHash/MemoryCoverageCacheLineCounts/win:Info,   20876234,        "Unknown" (44996),      43160,   6, {6814a193-f8c2-f331-350f-54e5d0ed9304}, , , , "HologramWorld-31016.keys", 34, 30, 128, 5, 5, 5, 5, 4, 6, 3, 2, 4, 3, 7, 2, 1, 5, 4, 4, 2, 3, 3, 2, 5, 6, 6, 2, 2, 4, 6, 5, 3, 4, 5, 2, 2, 5, 3, 3, 4, 2, 2, 2, 4, 3, 5, 2, 2, 5, 1, 3, 2, 7, 1, 3, 2, 1, 3, 2, 7, 3, 1, 3, 6, 3, 5, 2
